artifact_file,scenario_id,target_actor_id,num_modes,prediction_steps,ego_future_steps,target_future_steps,probability_sum,joint_valid_steps,status,notes
0946e7d0-357c-4bab-91fc-6b01703fdab1.npz,0946e7d0-357c-4bab-91fc-6b01703fdab1,20902,6,60,60,60,0.999999962747097,60,pass,
0952dda5-f712-4797-8d34-ba748912ca69.npz,0952dda5-f712-4797-8d34-ba748912ca69,124763,6,60,60,60,0.9999999860301614,60,pass,
0957efa7-1e37-46ab-9292-107b9b2ca0d5.npz,0957efa7-1e37-46ab-9292-107b9b2ca0d5,253814,6,60,60,60,0.9999999701976776,60,pass,
095e3f62-bb14-4a61-be96-bab4e273ad0f.npz,095e3f62-bb14-4a61-be96-bab4e273ad0f,41993,6,60,60,60,1.0000000074505806,60,pass,
096585da-cdc0-475f-9ecc-db873973cfaa.npz,096585da-cdc0-475f-9ecc-db873973cfaa,78080,6,60,60,60,1.0000000800937414,60,pass,
0968aa0d-1df5-4ddb-80f4-bad01f97a347.npz,0968aa0d-1df5-4ddb-80f4-bad01f97a347,50580,6,60,60,60,1.0000000447034836,60,pass,
096a0077-e9a5-49f1-b024-6bf80bffcc9e.npz,096a0077-e9a5-49f1-b024-6bf80bffcc9e,65676,6,60,60,60,0.9999999906867743,60,pass,
0971c3f3-d98a-4877-b8b8-40f00f60e5c3.npz,0971c3f3-d98a-4877-b8b8-40f00f60e5c3,80594,6,60,60,60,0.9999999714595136,60,pass,
097617fa-c20a-433b-8586-168d9d9b24e3.npz,097617fa-c20a-433b-8586-168d9d9b24e3,19710,6,60,60,60,1.0000000073341653,60,pass,
0977d5bf-f63f-4e9c-8529-682876b87d65.npz,0977d5bf-f63f-4e9c-8529-682876b87d65,169240,6,60,60,60,0.999999949708581,60,pass,
097b0a6a-9b3a-417a-a831-c79ebd14e6ff.npz,097b0a6a-9b3a-417a-a831-c79ebd14e6ff,45060,6,60,60,60,1.0000000321306288,60,pass,
09869147-c746-4178-9664-76db7bf1834e.npz,09869147-c746-4178-9664-76db7bf1834e,24106,6,60,60,60,0.9999999892897904,60,pass,
09871b72-c560-4b0a-9bcc-091f1aecf448.npz,09871b72-c560-4b0a-9bcc-091f1aecf448,33697,6,60,60,60,0.9999999415595084,60,pass,
0989685d-669c-4370-91d6-9254a3c8bb5f.npz,0989685d-669c-4370-91d6-9254a3c8bb5f,33922,6,60,60,60,0.9999999366700649,60,pass,
098bb1d0-97a9-4ecd-9c38-9fa7f176e01b.npz,098bb1d0-97a9-4ecd-9c38-9fa7f176e01b,151782,6,60,60,60,1.0000000316649675,60,pass,
0993fce9-430b-4c68-9dc9-fd52aa93a025.npz,0993fce9-430b-4c68-9dc9-fd52aa93a025,148496,6,60,60,60,1.0000001033768058,60,pass,
09947bf6-12d5-4eda-9e83-55edf3acbf51.npz,09947bf6-12d5-4eda-9e83-55edf3acbf51,131590,6,60,60,60,1.0000001039625204,60,pass,
09965dc8-799e-4531-bd03-c774a8ff1e5a.npz,09965dc8-799e-4531-bd03-c774a8ff1e5a,9779,6,60,60,60,0.999999962747097,60,pass,
099ddf26-603e-4ff0-ad1f-32c52472720e.npz,099ddf26-603e-4ff0-ad1f-32c52472720e,13841,6,60,60,60,1.0000000098552846,60,pass,
09a2a998-886e-4313-beb1-6c4f223397e2.npz,09a2a998-886e-4313-beb1-6c4f223397e2,107897,6,60,60,60,0.9999999399296939,60,pass,
09a5a505-19f3-41ef-a3c7-f388bba37e6d.npz,09a5a505-19f3-41ef-a3c7-f388bba37e6d,24260,6,60,60,60,1.0000000074505806,60,pass,
